word,male,female
mhm,0.00308321,0.0049809
husband,3.8866100000000004e-05,0.00060186
and,0.0254753,0.029646099999999998
my,0.0046107,0.00650333
oh,0.00608338,0.00815021
she,0.00170243,0.00278106
we,0.00536224,0.00694264
um,0.00813325,0.009884790000000001
have,0.00689868,0.0084566
kids,0.0006193980000000001,0.00114635
he,0.00331287,0.00436964
her,0.00062845,0.00113418
children,0.000197774,0.000520159
because,0.00250465,0.00335951
so,0.00914859,0.0106698
yes,0.00108618,0.00165065
daughter,7.773220000000001e-05,0.000287916
gosh,5.54949e-05,0.00024348500000000002
goodness,2.9813700000000002e-05,0.000168638
son,0.000100658,0.00028383499999999997
home,0.000472002,0.0007837419999999999
too,0.0017471,0.00227846
wow,0.000622841,0.000939058
uh-huh,0.0014866500000000002,0.0019461099999999998
mom,0.00011197400000000001,0.000257423
child,8.64894e-05,0.000215148
hi,0.000719072,0.00101976
said,0.0009663390000000001,0.00130675
don't,0.006518479999999999,0.00734475
him,0.0006592480000000001,0.000943832
to,0.018453599999999997,0.0197734
really,0.00417353,0.00482273
baby,4.41794e-05,0.000140223
love,0.000308469,0.000502525
boyfriend,1.18074e-05,8.00067e-05
had,0.0021089,0.00255644
neat,4.10308e-05,0.000126363
wonderful,5.0378300000000005e-05,0.000139992
ahem,1.08235e-06,4.9898299999999996e-05
our,0.000786473,0.00105272
didn't,0.0010914000000000002,0.00139746
god,0.00023270500000000002,0.000384787
thought,0.000513623,0.000718443
me,0.00248025,0.00288717
mother,9.69192e-05,0.00019143100000000002
shopping,2.5877900000000002e-05,8.300979999999999e-05
them,0.00187541,0.00220962
but,0.00883716,0.00953342
sister,8.75717e-05,0.00017179499999999998
just,0.00686729,0.00747496
hard,0.000446714,0.0006143339999999999
do,0.00583965,0.006398689999999999
was,0.00692938,0.00752856
sad,6.30713e-05,0.000134525
they,0.012114799999999998,0.0128787
i,0.0422296,0.0435945
feel,0.000578367,0.000757561
married,0.00025848399999999996,0.00038270800000000005
cute,1.84983e-05,6.4683e-05
think,0.00590066,0.006432640000000001
scary,7.01558e-05,0.000140839
family,0.0006756799999999999,0.000862054
us,0.000585058,0.0007585620000000001
when,0.0026383699999999997,0.00298974
were,0.00159676,0.00187203
pregnant,1.04299e-05,4.79732e-05
ooh,3.46351e-05,8.7476e-05
read,0.000285641,0.00040811900000000003
boys,2.8928200000000002e-05,7.80046e-05
either,0.000352648,0.00048396699999999997
that,0.023203400000000002,0.024132
parents,0.000248251,0.000356526
thank,5.68724e-05,0.000114966
even,0.0013546099999999998,0.00158804
coupons,4.0342e-06,3.1340399999999996e-05
refunding,6.88766e-07,2.37941e-05
mine,0.000140016,0.000222232
older,0.000140705,0.000221462
funny,0.00037311399999999997,0.000496211
mystery,1.36769e-05,4.6972200000000004e-05
can't,0.000991134,0.0011820799999999998
old,0.000495813,0.0006332
did,0.00142181,0.0016416400000000002
loves,2.45004e-05,6.22189e-05
uh-hum,7.586270000000001e-05,0.00013213800000000001
[sigh],0.0030730799999999997,0.0033798400000000003
young,0.00016166300000000001,0.000238095
christmas,8.511180000000001e-05,0.000141686
boy,9.42626e-05,0.000153314
fun,0.00029577600000000004,0.000393026
couldn't,0.000231917,0.00031864100000000004
babies,1.10203e-05,3.76547e-05
very,0.0014041,0.00160468
sometimes,0.000435202,0.000548342
need,0.000493255,0.000612948
his,0.000577088,0.00070489
uh-uh,1.67272e-05,4.56631e-05
horrible,5.60852e-05,0.000101029
we've,0.00027550599999999996,0.000365228
daycare,3.837410000000001e-06,2.32551e-05
oldest,1.8596699999999998e-05,4.70492e-05
youngest,1.3381700000000001e-05,3.88868e-05
then,0.00263738,0.0028878600000000003
skating,1.2004200000000001e-05,3.62687e-05
would,0.00301119,0.0032768899999999998
eat,0.000268324,0.000351444
cook,7.51739e-05,0.00012220499999999999
everything,0.000668202,0.000794599
[lipsmack],0.0009248160000000001,0.00107189
stay,0.000208303,0.00028114
awful,3.7685299999999996e-05,7.26143e-05
watch,0.000725468,0.000854585
michelle,2.65667e-06,1.84038e-05
does,0.000504866,0.000612486
books,0.000144149,0.000204367
kindergarten,9.74112e-06,3.06474e-05
thinking,0.000266257,0.00034389800000000003
afraid,5.94307e-05,9.94116e-05
scared,4.35891e-05,7.86976e-05
nice,0.000540977,0.000648601
different,0.000748098,0.000872219
linda,3.14865e-06,1.81728e-05
busy,4.9394399999999996e-05,8.49349e-05
supposed,0.00032067,0.000402035
lisa,4.32939e-06,1.99439e-05
families,5.4215699999999997e-05,9.04021e-05
little,0.00124765,0.0014
together,0.00024795599999999997,0.00031810199999999996
things,0.0014875399999999999,0.0016505699999999999
lives,0.00013795,0.000190122
year,0.000631795,0.000737309
age,0.000143952,0.000196821
email,6.34649e-05,0.000100259
live,0.0008319310000000001,0.0009507630000000001
mum,1.0331500000000001e-05,2.84143e-05
school,0.0010645399999999999,0.00119717
anything,0.0008350800000000001,0.000952457
reading,0.000114335,0.00016009
book,0.000126438,0.000174182
want,0.00108776,0.0012187300000000001
grown,2.82394e-05,5.33634e-05
garden,1.46609e-05,3.4266599999999995e-05
sit,0.00015595599999999998,0.000208295
karen,3.05025e-06,1.54007e-05
[laugh],1.39721e-05,3.3188499999999996e-05
glad,5.4707700000000005e-05,8.7553e-05
gymnastics,2.95185e-06,1.51697e-05
gotten,0.000112662,0.00015731800000000001
mm,0.00084797,0.000962313
mommy,2.65667e-06,1.4399699999999999e-05
wonder,0.000140902,0.000189968
terrible,6.55312e-05,0.000100413
anne,1.77111e-06,1.24746e-05
felt,8.698130000000001e-05,0.000126055
go,0.00266533,0.00286137
likes,5.4215699999999997e-05,8.58589e-05
keep,0.000375378,0.00045147199999999996
debbie,1.27914e-06,1.1319499999999999e-05
isn't,0.00023496799999999998,0.000296002
never,0.0009384930000000001,0.00105564
men,6.966379999999999e-05,0.00010464799999999999
coupon,1.86951e-06,1.2397600000000001e-05
ones,0.000229162,0.00028891699999999997
teenagers,1.46609e-05,3.3188499999999996e-05
crafts,9.83952e-07,1.04725e-05
am,0.000286625,0.000352599
honey,4.9197600000000005e-06,1.78648e-05
anymore,0.000109317,0.00015123500000000003
house,0.00030777999999999996,0.000375315
grade,7.24188e-05,0.000107112
hobbies,5.32318e-05,8.33178e-05
